t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR8	t00_A_Rep1_OR8	t00_C_Rep1_OR8	t00_B_Rep3_OR8	Student's T-test Significant Syn_Cond1_Syn_Cond2	Student's T-test significant	Student's T-test p-value Syn_Cond1_Syn_Cond2	Student's T-test q-value Syn_Cond1_Syn_Cond2	Student's T-test Difference Syn_Cond1_Syn_Cond2	Student's T-test Test statistic Syn_Cond1_Syn_Cond2	Name
#!{Type}E	E	E	E	E	E	C	C	N	N	N	N	T
#!{C:Group1}Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond2	Syn_Cond2	Syn_Cond2							
16.7520618438721	17.1954364776611	15.9624948501587	19.0873184204102	17.2528743743896	16.0559043884277			0,433341285731385	0,901236137014683	-0,828701337178547	-0,870109632457333	A0AVT1
16.9853916168213	16.6809902191162	16.8950881958008	19.6389656066895	16.9697303771973	16.5214900970459			0,430410792934548	0,901236137014683	-0,856238683064777	-0,876153076622697	A5YKK6
16.0449905395508	15.2278909683228	16.3699722290039	20.924243927002	15.8006162643433	15.6707792282104			NaN	NaN	0	NaN	A6NCE7;Q9GZQ8;Q9H492
15.9779834747314	15.3730440139771	15.4166278839111	19.1432723999023	15.2724733352661	16.2985916137695			0,325217050017197	0,901236137014683	-1,31556065877279	-1,12052972756378	A6NHR9
20.3618507385254	19.7351131439209	16.2008495330811	20.1984062194824	19.6357822418213	19.8247833251953			0,439241801917948	0,901236137014683	-1,12038612365723	-0,858041470052997	A6NL28
17.4514808654785	17.4450588226318	17.345157623291	19.8685359954834	17.8269958496094	17.8986740112305			0,170544842699465	0,901236137014683	-1,11750284830729	-1,66848199429837	A6NMY6;P07355
16.2990818023682	19.0456581115723	15.3538866043091	18.9764633178711	16.288122177124	15.2780466079712			0,975059880387809	0,993587420426716	0,0519981384277344	0,0332611566257869	A8MWD9;P62308
18.8368148803711	19.0817718505859	18.9173412322998	19.7127361297607	18.7788696289063	18.8072109222412			0,649936876360388	0,911220556497856	-0,154296239217121	-0,489779752001757	B0I1T2
26.0236854553223	25.8829879760742	25.542293548584	25.5798721313477	25.8046684265137	25.9653167724609			0,864369265784762	0,95301511398639	0,0330365498860665	0,18208790066984	CON__ENSEMBL:ENSBTAP00000016242;P68363;A6NHL2;Q9H853
21.379695892334	20.8346729278564	19.8773937225342	24.2493667602539	20.9165287017822	21.2104244232178			0,282934002328	0,901236137014683	-1,4281857808431	-1,23943778597502	CON__P02769
23.1872482299805	23.1946659088135	23.4164371490479	23.7913570404053	23.9057598114014	23.6973209381104			0,00525488864208147	0,425645980008599	-0,532028834025066	-5,52112818376223	CON__P15636
27.3635921478271	27.25905418396	27.2618827819824	26.8129940032959	27.4955940246582	27.5426292419434			0,96506226431137	0,99129027709749	0,0111039479573556	0,0466047242089337	CON__P60712;P60709
17.3348636627197	17.4764041900635	15.8141088485718	19.2374839782715	16.7372398376465	17.8254585266113			0,304069489735946	0,901236137014683	-1,05826854705811	-1,17806949908556	O00116
17.0251159667969	15.2056522369385	16.5768547058105	19.3249034881592	16.9010448455811	15.541934967041			NaN	NaN	0	NaN	O00139;O14713
21.0937423706055	21.4416027069092	21.3867359161377	19.3982887268066	21.2690410614014	21.1811542510986			0,326664668930759	0,901236137014683	0,691198984781902	1,11671806953147	O00148
18.5698909759521	19.2065505981445	18.7871360778809	19.7539806365967	15.7125539779663	19.0851268768311			0,623950791211423	0,903396478238585	0,670638720194496	0,530341330157498	O00151
20.6393222808838	20.6604595184326	21.0086307525635	19.9810771942139	20.5028762817383	20.6134777069092			0,152493090824542	0,901236137014683	0,403660456339519	1,76405725324848	O00154
15.5993547439575	14.9844360351563	16.1029472351074	20.5773830413818	16.1483592987061	15.7128286361694			NaN	NaN	0	NaN	O00165
19.206148147583	19.4311466217041	18.9021511077881	19.4878711700439	19.1609077453613	19.1412715911865			0,683007313490912	0,917429151667469	-0,083534876505535	-0,439489308137081	O00170
16.3031177520752	15.487114906311	16.3437614440918	19.2171535491943	16.3033256530762	15.2742147445679			0,505303823013238	0,901236137014683	-0,886899948120117	-0,730983777488402	O00178
18.4359245300293	18.4942245483398	18.5682392120361	19.055700302124	18.7917747497559	18.8228778839111			0,0130308781884061	0,669813203006865	-0,390654881795246	-4,26218817369766	O00182;Q3B8N2;Q6DKI2
16.5277862548828	16.3150978088379	15.8787307739258	20.1478366851807	16.3017177581787	14.8694248199463			0,614478954027863	0,901435440155529	-0,865788141886391	-0,545379326344111	O00193
20.8612785339355	20.4673919677734	20.4240684509277	18.5706787109375	20.0933361053467	20.4845657348633			0,221589660481232	0,901236137014683	0,868052800496422	1,44645492580004	O00231
19.2373790740967	19.01735496521	19.3707809448242	19.6744899749756	19.2840099334717	19.3642559051514			0,213975464507661	0,901236137014683	-0,232413609822594	-1,4760331691476	O00232
18.5790557861328	18.4081268310547	16.9573593139648	19.6342620849609	18.1927280426025	18.3924674987793			0,329815366002861	0,901236137014683	-0,758305231730144	-1,10847513828455	O00233
17.7389755249023	17.8207321166992	17.7243385314941	19.5118408203125	15.8700981140137	17.6476440429688			0,939599441511156	0,988377461535285	0,0848210652669259	0,080643151800928	O00264
16.3654880523682	17.6687412261963	14.4079656600952	18.4330902099609	17.9025421142578	16.1740379333496			0,310099745269872	0,901236137014683	-1,3558251063029	-1,16129369364958	O00267
21.0280780792236	21.1386032104492	20.6695365905762	19.8484706878662	20.6442317962646	20.9009075164795			0,238081506834253	0,901236137014683	0,480869293212891	1,3857358879243	O00299;Q9NZA1;O15247
19.5746746063232	20.0636100769043	20.8702373504639	19.1875343322754	19.9470024108887	19.8972759246826			0,335831836890906	0,901236137014683	0,492236455281574	1,0929317812054	O00303
21.2695293426514	21.2644004821777	21.3069248199463	19.857889175415	21.3603649139404	21.198787689209			0,375499015915902	0,901236137014683	0,47460428873698	0,996284668196292	O00410;O60518
17.68603515625	17.935375213623	18.0514373779297	19.853645324707	17.3291816711426	17.6647644042969			0,649662648614003	0,911220556497856	-0,391581217447918	-0,49020274989844	O00425
16.7476329803467	17.0021629333496	16.2886028289795	19.4877414703369	16.8563632965088	17.632719039917			0,17955384321338	0,901236137014683	-1,31280835469564	-1,62468693333871	O00429
