t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8	Student's T-test Significant Syn_Cond1_Syn_Cond2	Student's T-test significant	Student's T-test p-value Syn_Cond1_Syn_Cond2	Student's T-test q-value Syn_Cond1_Syn_Cond2	Student's T-test Difference Syn_Cond1_Syn_Cond2	Student's T-test Test statistic Syn_Cond1_Syn_Cond2	Name
#!{Type}E	E	E	E	E	E	E	E	C	C	N	N	N	N	T
#!{C:Group1}Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond2	Syn_Cond2	Syn_Cond2	Syn_Cond2							
17.7221603393555	15.547625541687	15.6564111709595	15.8075475692749	17.1954364776611	18.053783416748	16.0454998016357	16.8573799133301			0,244489154378582	0,744903720400175	-0,854588747024536	-1,2901434292265	A0AVT1
16.8381900787354	16.5214900970459	16.8950881958008	16.9853916168213	16.6809902191162	16.9159564971924	16.2842655181885	17.1657123565674			0,827965708447207	0,967984480479027	0,0483088493347168	0,226992801468619	A5YKK6
16.1087341308594	15.9728212356567	15.7287445068359	16.7453269958496	15.0979347229004	16.0507259368896	16.7109413146973	18.1518630981445			0,610360306055515	0,917259392513737	-0,363959550857544	-0,537348819331228	A6NCE7;Q9GZQ8;Q9H492
15.3839302062988	16.7270603179932	14.8124179840088	16.4365768432617	15.3730440139771	15.696231842041	15.6860065460205	16.0966873168945			0,796777196835944	0,963086792583771	0,127003908157349	0,269222527729458	A6NHR9
15.3390293121338	19.8247833251953	15.5883007049561	20.3618507385254	19.7351131439209	19.5380210876465	19.9394264221191	16.2799472808838			0,518995430095579	0,882520870598647	-1,09463596343994	-0,684865195484673	A6NL28
17.0952491760254	17.8986740112305	17.345157623291	17.4514808654785	17.4450588226318	17.3596057891846	16.7724208831787	17.3331756591797			0,370757781995227	0,82751341054332	0,220075130462646	0,967284195081481	A6NMY6;P07355
19.8580322265625	15.5709886550903	15.8281269073486	15.6482629776001	19.0456581115723	14.351879119873	19.6385974884033	17.2856636047363			0,60855221419903	0,917259392513737	-0,85409688949585	-0,540135592233792	A8MWD9;P62308
18.8097743988037	18.8072109222412	18.9173412322998	18.8368148803711	19.0817718505859	18.9359817504883	18.964527130127	18.2215557098389			0,839193246748218	0,970187164708947	0,0418262481689453	0,211908852274523	B0I1T2
