Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O14818	20.612910356655757	20.770368628089965	20.58750300863928	20.840469202732514	20.795578724616874	20.79482018187627	21.142562854555074	21.700649544034718	21.776634951409257	20.81542406643812	20.614567210518874	20.918765223176553
O14929;REV__Q7LFX5	20.28513217248727	19.551544206854178	18.582274586224134	19.051204525258118	19.053564299878374	19.44206365869873	19.516750627377164	NA	NA	19.73405147958642	19.153304926307158	19.6420479167881
O14950;P19105;P24844	18.97565571687591	19.709585390080807	19.193888055420825	18.903030870228662	19.30345742733922	19.471087477283486	19.358019564869387	19.444372003443785	NA	19.132469950475944	19.810284588898273	19.374415379292905
O14974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.176181311867378
O14979	NA	19.789724111557383	NA	18.61763227841093	20.217099157960995	NA	20.48319040672348	NA	NA	NA	18.447727681262187	18.985970277672898
O14980	NA	18.917169063057102	20.17942512081263	19.004476492015232	18.65493663292403	18.64486959276533	18.50698719905208	NA	NA	18.440985406410896	20.651884862559083	18.684063951229717
O14981	NA	NA	15.005277418781628	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15067	NA	19.732074007537587	19.910232427666603	19.369703659853183	19.291568316457287	19.213235252208726	19.590093368681874	NA	NA	19.48908200515507	19.10493364431649	19.807862851569723
O15143	NA	18.967071248777074	18.15097319464283	18.505643000682607	18.6941854208112	18.92416039381565	18.579996547195595	NA	NA	18.89505489013728	NA	18.959555791988404
O15144	NA	19.45015560155323	19.633535454909282	19.663881260132758	19.199910859532	19.67614425292877	19.5420170629824	NA	NA	19.063967008509287	20.49495691324135	19.444869227248997
O15145	NA	18.91959378356656	21.902020059014063	18.9648557172342	19.08145196572861	18.767345688261297	18.9932968093939	NA	NA	18.888661822285442	18.98079342237967	19.170753825226583
O15160	NA	17.76507411133148	NA	17.25332328117706	NA	NA	NA	NA	NA	NA	NA	17.289823818782835
O15212	NA	19.18853965728959	19.303480015241874	18.74973758259917	18.551524088851586	19.319801485180992	18.933898261241914	NA	NA	18.409475195864182	19.27924524612751	18.853145780569662
O15305	NA	17.155394888216073	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.637436098681412
O15347	NA	18.392414902400557	18.945627060824414	NA	18.717045779299955	NA	19.235920915676484	NA	NA	18.73780980359576	NA	17.87071698316929
O15355	NA	19.929410780804705	20.45758529427832	19.410669897644087	19.236061840567228	NA	19.922680149602055	NA	NA	19.144364898352983	NA	19.164071268617143
O15371	NA	18.989234940732764	NA	18.94540473823791	NA	NA	18.611036324485386	NA	NA	18.180365149468557	20.43379079215095	18.527485615633356
O15372	NA	19.107118187521934	19.47102945123645	19.86366007256938	NA	NA	19.14047546292923	NA	NA	NA	NA	18.852526895376098
O15392	NA	15.758409173793984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15397	NA	16.489049712773827	17.13341403612408	NA	NA	NA	16.823706054509337	NA	NA	NA	NA	NA
O15511	NA	20.1766701220831	20.733088381140917	NA	NA	NA	20.446742653568418	NA	NA	20.875432526324616	NA	20.726934378153125
