t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8	Student's T-test Significant Syn_Cond1_Syn_Cond2	Student's T-test significant	Student's T-test p-value Syn_Cond1_Syn_Cond2	Student's T-test q-value Syn_Cond1_Syn_Cond2	Student's T-test Difference Syn_Cond1_Syn_Cond2	Student's T-test Test statistic Syn_Cond1_Syn_Cond2	Name
#!{Type}E	E	E	E	E	E	E	E	C	C	N	N	N	N	T
#!{C:Group1}Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond1	Syn_Cond2	Syn_Cond2	Syn_Cond2	Syn_Cond2							
17.7221603393555	16.2844676971436	16.5510330200195	16.0137748718262	17.1943836212158	18.0526485443115	15.3276138305664	15.5227069854736			0.881072901131983	0.995788435136625	0.118520736694336	0.156101308757736	A0AVT1
16.8381900787354	16.5246315002441	16.8946762084961	16.9893665313721	16.6799354553223	16.9148216247559	15.9142055511475	17.1665496826172			0.638229577381374	0.992738426383064	0.142838001251221	0.4949591493962	A5YKK6
16.1282539367676	15.8201484680176	15.4570693969727	15.584454536438	15.0526905059814	16.0495910644531	15.8512897491455	16.6109142303467			0.699474491924573	0.992738426383064	-0.143639802932739	-0.405067737569164	A6NCE7;Q9GZQ8;Q9H492
15.3839302062988	15.860499382019	16.29469871521	16.4366607666016	15.3719902038574	15.6950960159302	15.6861410140991	16.695198059082			0.735826130353557	0.992738426383064	0.131840944290161	0.353467358598508	A6NHR9
15.3678998947144	19.8279266357422	16.1505661010742	20.3658256530762	19.734058380127	19.53688621521	19.9395599365234	17.2054634094238			0.438897681943985	0.992738426383064	-1.17593741416931	-0.828874368685572	A6NL28
17.0952491760254	17.9018154144287	17.3447456359863	17.4554576873779	17.4440059661865	17.3584690093994	16.5847606658936	16.1182975769043			0.16263276795555	0.992738426383064	0.572933673858643	1.59136395749656	A6NMY6;P07355
19.8580322265625	16.1696910858154	15.4797344207764	17.1048526763916	19.0446033477783	14.3369779586792	19.6387310028076	16.0716705322266			0.941898439609606	0.995788435136625	-0.11991810798645	-0.075988768548294	A8MWD9;P62308
18.8097743988037	18.8103542327881	18.9169311523438	18.8407917022705	19.0807189941406	18.9348449707031	18.9646606445313	18.2223930358887			0.83133416474002	0.992738426383064	0.0438084602355957	0.222461256630395	B0I1T2
