Name	t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8
O14646	17.64414016412193	NA	17.725964938367014	17.330999189244817	17.876805943080676	17.770773008089563	NA	NA
O14662	NA	NA	15.693058914438481	NA	NA	NA	NA	NA
O14737	19.53345374534204	19.35126227161896	19.069911462085226	19.783909232006337	19.69445878569657	19.50639696673003	19.63229240221588	19.53316573977515
O14744	19.876825432229456	19.519016118286558	19.345284295920006	19.3766951121664	19.376895624638827	19.519690400080485	19.537260060308945	19.350389434881038
O14745	20.815261888885885	20.26127193931386	20.256019658237314	20.61862745889534	20.268171647583152	20.610960421083888	20.450728068073346	20.854111869885656
O14757	NA	NA	NA	NA	15.68299989382792	15.656859456846394	NA	NA
O14776;Q5VWI1	19.2523616013798	18.870104790764874	18.823853278949876	18.94403105841829	17.199831394863487	17.256718219846505	NA	NA
O14818	20.413604036716087	20.915622879066692	20.806595407397484	20.98790016592898	20.771422587491237	20.833487822244876	20.840335031012913	20.814585604627055
O14929;REV__Q7LFX5	19.349009218329268	19.63890557267824	19.768973926310395	19.95348599635977	19.55259816625545	19.270792552184083	19.051070353538513	19.733213017775356
O14950;P19105;P24844	22.187201598139886	21.88575382198732	22.040203854491633	21.667821263836764	19.71063934948208	19.255048179401882	18.90289669850906	19.13163148866488
O14974	NA	17.173038967757517	NA	NA	NA	NA	NA	NA
O14976	NA	NA	NA	NA	NA	15.472547442278605	NA	NA
O14979	19.20132346140839	18.982827933563037	NA	19.408408400429114	19.79077807095866	18.901336711567026	18.61749810669133	NA
O14980	18.95202655835797	18.680921607119856	19.82743166424651	18.704234756608464	18.918223022458378	18.913256179069904	19.004342320295628	18.44014694459984
O14981	NA	NA	NA	NA	NA	NA	NA	NA
O15042	17.23543626571167	NA	NA	NA	NA	NA	NA	NA
O15067	19.486395571333695	19.804720507459862	20.309258418143617	19.46206178298625	19.73312796693886	19.567517333688336	19.36956948813358	19.488243543344005
O15143	18.648605877878897	18.956413447878543	18.609545069789007	19.074744709071005	18.96812520817835	18.812724994134683	18.505508828963002	18.894216428326224
O15144	18.233275598787912	18.027855461306263	19.485032165276653	18.4845616328118	19.451209560954503	19.894888366909022	19.663747088413153	19.063128546698223
O15145	19.078998311714955	19.167611481116722	20.983502715649088	18.67865212196624	18.920647742967837	19.260556372782702	18.9647215455146	18.887823360474385
O15160	19.841474723403472	20.017188922852778	19.723102576342292	20.196971420843813	17.766128070732755	17.299303707756017	17.25318910945746	NA
O15212	23.758113992073216	24.072246423440813	24.045193457694246	23.864604372681384	19.189593616690864	19.137721041255396	18.749603410879566	18.408636734053125
O15305	NA	16.63429375457155	NA	NA	17.156448847617348	NA	NA	NA
O15347	NA	NA	NA	NA	18.39346886180183	NA	NA	18.736971341784695
O15355	19.875628216761662	19.16092892450728	19.992174901301393	20.52375991029207	19.930464740205977	19.187854409566796	19.410535725924483	19.14352643654192
O15371	NA	18.524343271523495	NA	18.082409177565737	18.99028890013404	19.11323538212367	18.94527056651831	18.1795266876575
O15372	19.616291874368965	18.849384551266237	19.417644567112823	18.96146746828044	19.10817214692321	19.523364428270142	19.86352590084978	NA
O15392	NA	NA	NA	NA	15.759463133195258	NA	NA	NA
O15397	16.09711206967931	NA	17.458621820380912	NA	16.490103672175103	NA	NA	NA
O15511	20.226230999014607	20.723792034043264	NA	NA	20.17772408148437	20.168724086931967	NA	20.87459406451356
O43143	20.795490851173493	21.03174425223719	20.652627778203478	20.328958140548245	20.550603926028195	20.776421253261553	20.58464536926057	20.7891226238358
O43148	14.936356154107386	NA	NA	NA	NA	NA	NA	NA
O43169	19.999493847077197	19.989503799912214	20.190886546781304	20.44832558490088	NA	NA	NA	NA
O43172	NA	17.259520544054087	NA	NA	17.048120789010092	17.658762055404473	NA	NA
O43175	20.9969091434162	21.050263346191578	21.220076445729646	21.153402678004163	20.973768702130847	21.10348719999596	21.01184162143913	20.665143026891613
O43242	18.69631470335364	19.390625221064994	18.91166793018119	18.781387736099365	19.015361948223862	18.695130031414294	18.92712393313792	18.739526002335296
O43252;O95340	19.099036583556988	18.56493909790336	NA	NA	18.928135934146006	18.7614543166733	NA	NA
O43290	NA	NA	NA	NA	NA	16.06064307313227	NA	NA
O43324	17.889286545139903	17.59643721702788	19.607324155531646	17.606900556887258	18.807316509433115	18.711887008303876	18.562020329112926	NA
O43390	19.209544099055517	19.350825062910015	18.941274749390416	19.357686240905437	21.39268213433254	21.395295461079435	21.01177435508916	21.11710849449252
O43396	18.470164629544342	18.460278392174576	18.826401514013934	18.001703425249744	18.286963825865698	18.43603165153894	17.853306553162206	18.444890937026223
O43399	NA	NA	NA	NA	17.62634102693881	17.770280809682852	17.90932399936208	17.968634372059647
O43447	17.63578063113301	16.896849053003063	17.970752453650668	17.333436245667396	17.796505423852366	17.964632482338466	17.808285397914084	17.105234081958557
O43488;Q8NHP1;O95154	15.927318254171865	NA	NA	NA	18.948203825257295	19.02457127071567	18.523322684212715	18.92141427020644
O43504	19.84846158200817	19.885681962099333	19.863267572451182	19.948697757510722	17.05812706387689	NA	NA	18.75760626517703
O43592	17.23714450171201	17.491325820947967	16.84102716512094	17.87567771846132	17.763339909461905	17.2481718930455	17.400870214564435	NA
O43615	NA	NA	16.869782210249554	NA	17.552735598505222	17.496090104570342	17.51172496820181	17.50179244124832
O43617	17.50016393180954	17.604773076195944	NA	18.10274942600296	16.946975699395537	NA	NA	NA
O43665	NA	16.76041759689176	NA	NA	NA	NA	NA	NA
O43681	18.717659518488748	18.78321752088516	18.38665353439501	18.816624256062724	17.92765912400018	17.808536328692853	17.89673207130639	17.880511815200016
O43684	19.31261232572706	19.064706237926156	19.898840318579705	19.209903883995935	19.19211025392257	19.62506479541259	19.799459266564064	19.06085186691834
O43707;Q08043;P35609	19.924056728059146	19.926910697630895	19.462625050998057	19.953622569942574	20.005430145017215	19.78427354718921	19.873777000310945	19.277211875164873
O43719	17.69048588916749	NA	NA	17.062386098330386	17.151284873544114	NA	NA	NA
O43747	16.986670752649594	16.305454553037375	18.274844199297178	NA	NA	17.269574133183482	16.980728156371576	NA
O43765	NA	19.30635676107019	18.987411651487076	19.18443412749137	19.103043287758176	19.050823030302276	18.976598380147756	18.837009570919747
O43776	19.107294170171272	19.284546504348324	20.54475890892543	19.24893277452071	18.903184341584343	18.36674546089879	18.406161503750447	19.04213652957027
O43795;Q9UBC5	NA	16.49607835668846	NA	NA	NA	15.3412150199572	NA	NA
O43809	18.83575989951348	18.93323801197	19.45705656576183	19.21501723886082	19.549020324755276	19.37044421199071	19.099070203960657	19.435629696162863
O43837	17.435226716995658	18.373529522362585	17.96861183401106	17.73567538130673	17.952871606034286	18.267962499590077	NA	NA
O43847	NA	NA	NA	NA	18.049241442435815	17.663408206496904	18.292082481369533	20.273148578669463
O43852	17.568458691654712	17.838822678798618	17.461591133651044	17.78593553253945	17.665948801888696	NA	NA	NA
O60216;Q9H4I0	18.502184251431423	18.924086515873892	18.657764085469864	18.66213284977069	16.535176105277998	16.058971573843642	NA	NA
O60231	NA	NA	NA	NA	NA	14.533710962436635	NA	NA
O60234	19.79015718087773	19.604126844379266	19.368970818997052	19.387209038061634	19.58621944372785	19.96484758522255	19.957978405150428	19.571060529697967
O60256	16.35492566910067	NA	NA	NA	16.20058589202265	16.122727769606243	15.622327759540976	NA
O60264	17.946789014181235	17.938235613429548	19.005942873323164	17.61597218062142	17.980463354704852	18.249761639807893	18.35035567548028	18.663540003508793
O60341	17.46714159465363	17.714484447924555	18.981979709073922	17.533733341235916	17.507933438889964	17.694027574088942	17.410045818723823	NA
O60488	NA	NA	NA	18.23268255850141	NA	NA	NA	NA
O60493	NA	16.866526380395623	NA	NA	17.04695048268683	17.136408708480744	NA	NA
O60506	19.734084337341915	19.614275860994596	20.015093387075552	20.035773627045867	19.579995918376433	19.75549839852463	19.599134085463355	19.70629216868715
O60508	15.486939767797242	NA	NA	NA	16.13025795932844	15.554555691640239	NA	NA
O60610	16.861577081798426	NA	NA	NA	20.102034106441828	20.1847413001787	19.846397895521243	20.32280773973308
O60664	NA	18.037046782676104	17.250292433480258	NA	17.74391119110328	17.566100217479026	NA	NA
O60684;O15131	16.792941096597247	NA	NA	NA	NA	16.796078212629567	NA	NA
O60749	NA	NA	17.362484723291864	NA	NA	NA	NA	NA
O60763	NA	NA	16.42857166750209	NA	16.81593032541879	16.956110162851694	NA	17.01078314609125
O60832	17.53332569034457	17.583381702856823	18.768989696313085	17.689713869685605	17.45759085865661	17.747018534645008	17.69568673110644	NA
O60841	18.147624785763437	17.984976160205566	19.14566599005554	17.934209261236013	18.16932330609997	18.06270460512639	18.21242225819102	NA
O60880	NA	NA	NA	NA	17.971547363368032	NA	NA	NA
O60884	18.564919211308055	18.736709842244654	18.236079469030344	17.880168153578534	18.523583643622395	18.591223587758854	NA	18.81782815771613
O60925	19.022693489639806	19.08111616840282	19.123314877882457	18.980895090902752	18.99669284501954	19.319461451431366	18.951287779605828	18.27405252296024
O75083	NA	NA	NA	NA	22.635331837962504	22.617922990016453	22.6122370250582	22.86824794314792
O75131;Q9UBL6;Q9HCH3;Q86YQ8;Q96A23;Q8IYJ1;Q96FN4	20.747488345648428	20.34644567303968	20.10616529182721	20.08023420347475	17.92686409006638	17.49117029652168	NA	NA
O75152	NA	16.310208422289996	16.42106065836629	NA	16.45882340468706	16.461888319763595	NA	NA
O75312	15.862206433292878	NA	NA	NA	15.751247117379302	15.581598432099495	NA	NA
O75340	17.200194637056736	NA	NA	NA	NA	16.671799641462307	17.467913429760443	NA
O75347	19.999493847077197	20.062902408405463	19.47721568695618	19.296247105129993	19.57854551584243	19.378358504778895	19.359540050778264	19.472264131773777
O75348	19.683858996397188	19.830574005183145	20.618202126445833	20.053595192097085	20.091430338519416	19.910885732908135	20.158926010449605	20.37376891742344
O75351	17.074881630306916	NA	NA	NA	18.154593756593954	17.985773596146565	17.84565841176868	18.042587491975596
O75367;Q9P0M6	19.815171604769276	20.32031185127678	20.166192019528275	20.290008717523627	19.88942984432255	19.743465270282904	19.376022166834034	19.847401542615728
O75368	18.041827004149432	17.909005550442934	17.463307420605176	18.53956801898655	18.338371652608544	18.22971802242722	18.27357498835444	18.270070924635554
O75369	21.361386901956443	21.49147693596234	21.349888353624248	21.31169410223784	21.45999261612114	21.278849504995286	21.177455241141963	21.364091155560402
O75390	17.432718090524933	17.435869229372887	NA	17.40677334720374	20.748957895264027	20.643658661987857	20.74619497855393	20.20166811378776
O75396	NA	NA	NA	NA	16.034348734237874	15.934899928294397	NA	NA
O75400	NA	17.197328909565446	NA	NA	18.33109882061389	17.76368146211869	18.763093244174073	18.996340542585628
O75431	16.541920351915877	16.789837306357953	NA	16.76815474551478	17.172904084907408	16.795110772498838	NA	NA
O75436	NA	17.35213629174922	18.169827700977127	17.26632204980886	17.11805046691571	NA	NA	16.86205414628965
O75475	NA	18.74360943167407	19.31922216459369	19.441544465632266	18.640182271935082	18.438512041206117	18.098056755117824	18.252383466114303
O75489	18.074680515782177	18.165576816821122	18.30391324613228	18.290614310317732	16.784325792063058	16.272183772196314	16.559364535610804	NA
O75506	NA	NA	NA	NA	17.120370434998208	NA	NA	NA
O75521	NA	15.99550975491482	NA	NA	16.612497556677027	NA	NA	NA
O75530	20.263653471039515	20.121318085823326	20.31477832037882	20.15672822991258	16.328227561308474	NA	NA	NA
O75531	NA	NA	NA	NA	20.43308950999402	20.369632112312132	19.946059293911134	20.584367136781935
O75533	19.78468077004228	19.901405535403764	19.798151181013008	19.99601231317189	19.948464993802702	19.888382721939223	19.841819082766094	19.951050931155315
O75534	20.79503314335211	20.606430995498787	20.835872342544228	20.646098444599907	20.25080542062082	20.224921511433443	19.73839481101411	20.28653665071773
O75643	NA	NA	NA	NA	20.257777016607704	20.11352644855971	20.428122982811665	19.83511205282582
O75663	NA	17.717200657787206	17.973711154782904	18.044493952767066	18.249385851723993	18.53166500808028	18.37223366818028	18.149991395120892
O75694	16.773866503784213	16.189116131628637	17.56657027947088	NA	16.975756018149397	16.990535494102403	16.92489662605916	NA
O75717	NA	NA	NA	NA	16.565459910568784	NA	NA	NA
O75746	NA	NA	NA	NA	NA	14.533130844595014	NA	NA
O75791	17.232644794237668	17.416103808410178	17.96045943684337	16.772868223317126	17.230481080645482	17.119504558812118	16.881263176020553	17.23103582910604
O75792	16.95128732549327	17.140163479693246	16.923249276220698	17.003973598874573	20.52631555706987	20.460721975754282	20.61772795203862	22.052097746110967
O75794	19.627166684529055	19.676176495813316	19.600587658919903	19.72371306408269	17.95104801466737	17.650361090028348	17.284797024739625	17.64570087580998
O75821	18.099061303535755	18.423488212589085	18.915576708725997	18.410200840556424	18.71660116169665	18.484359293301928	17.910767647331014	18.804407352286745
O75822	NA	NA	NA	NA	17.662450586695194	NA	NA	NA
O75874	19.76818787748218	19.85207918288304	19.63316311668678	19.964506778797702	19.93284259174107	19.899256117329244	21.592627666307358	NA
O75915	NA	NA	NA	NA	15.714864331531263	NA	NA	NA
O75934	NA	NA	NA	NA	16.602574813349463	NA	NA	NA
O75937	18.719590234360016	NA	18.182433554159122	NA	17.332380219646403	18.260665884395934	NA	NA
O75947	19.3708569299631	19.34719737035557	19.178853281456878	19.449023259933913	19.449033104804876	19.252517462984557	19.16501195917715	18.980672538986276
O75964	18.76117518484059	18.997293374353525	19.366221439035563	19.259753814153985	19.2097138048943	19.03467348040602	19.128775162230376	18.589150872113137
O76003	19.674516636794298	19.85934282178173	19.72220692231066	19.87270520084736	19.695221560465534	19.71206320946269	19.669199321465065	19.0906339509244
O76021	18.374517322885218	18.588653410832666	18.71690304044773	18.250223139810544	18.36827354714348	18.129661204655434	18.197926945495517	17.777886476034055
O76031	17.145615660742376	17.17595664147059	NA	NA	17.430623811056343	17.110686042775953	17.134841128228793	NA
O76094	18.42713645002294	18.241888649922338	17.169254254779094	18.857925174915255	18.15214682051493	18.42239107057962	18.539949356697875	18.4271215426998
O94776	19.893596977835703	19.258854899846916	19.529834088956946	19.28890501989335	19.44557723631432	20.072693891485578	19.098132788480555	18.791933818249888
O94826	NA	NA	15.699454214378868	NA	NA	NA	NA	NA
O94874	16.429953553796537	NA	NA	NA	NA	NA	NA	NA
O94888	NA	19.03297763015104	18.72586745128753	18.86270385893185	16.08987801524046	16.063377735900687	NA	NA
O94903	NA	17.30416470490417	17.902410207555402	NA	17.526735392665294	17.76683071100271	NA	NA
O94906	17.36361105896784	17.305626445691086	NA	NA	17.379319198544323	17.604020192697668	NA	NA
O94925	17.804690434397244	17.28850893794828	17.120252354305098	NA	17.74733766482091	17.595640661162463	17.29403087275834	16.56310230819399
O94972	NA	19.21315286609996	NA	NA	NA	NA	NA	NA
O94973	NA	NA	NA	NA	NA	NA	NA	NA
O95104	18.667432441966024	18.60183650487492	18.258627697607693	18.19667142907179	NA	NA	NA	NA
O95163	16.363973189482252	NA	NA	NA	16.34801735830854	16.016811767764253	NA	NA
O95202	18.591027557027584	18.55123167848276	17.94959162619822	18.29130610523776	18.95495289184393	18.74435832284999	18.54846963689078	18.35710194336515
O95232	24.29239450835506	24.842111209938725	25.205700965378124	25.36740908432355	16.705425656889155	16.75587136462802	16.43371315413458	NA
O95319	NA	18.917578274894108	16.775472315540302	18.368605441339746	18.59014158943549	18.48248249449309	18.23969711754475	18.348802948266027
O95336	18.155633422733786	17.791863348197804	18.55954914368439	17.75260312995188	19.53724386281924	19.203411138214605	19.643345853941106	19.44769781561424
O95347	19.60326194333113	19.511603136247242	18.994038028818146	19.564677823840825	19.604896231979254	19.578751726096165	19.48223842820751	19.157946370913294
O95373	17.100988158040252	NA	NA	NA	NA	16.47442209343174	NA	NA
O95394	17.493484254971793	17.523013326190352	NA	17.923037371639914	NA	NA	NA	NA
O95433	NA	NA	16.387763094391705	16.20968433469566	20.424854072244607	20.100614704631646	20.00550483568751	20.260775572388198
O95453	16.6711950553646	17.32830757955619	17.20214300212443	16.531539239057633	16.940057793616262	16.76157813721501	NA	NA
O95456	NA	NA	16.862233138767994	NA	18.876284406011024	16.871444198853126	NA	17.788110516956294
O95478	NA	NA	NA	NA	16.084773878632255	NA	NA	NA
O95747	16.87688310427443	17.39646736821279	NA	NA	17.433164162398413	17.678963020691747	17.948141714407	18.06694112654064
O95757	NA	18.142811643276534	17.833989174229735	17.72085938417729	17.561299238347424	NA	NA	18.483542523035922
O95777	NA	18.456219414421955	NA	NA	18.394772733006747	18.39965794138235	NA	NA
O95782	16.59064080850394	16.54708665731172	16.404166816005947	NA	17.053472579266817	16.927811477096334	16.641208025453835	NA
O95793	NA	NA	NA	NA	NA	16.704885647333057	NA	NA
O95816	17.604080859506062	NA	17.383319725100012	17.799979739581975	17.10198715059093	17.763063155401603	17.67721199898768	NA
O95831	19.71540374611418	19.342325268028585	18.813309265049213	19.284850889258216	18.94705412165201	18.837604769713046	19.24915474384469	18.94297414167322
O95861	18.12638811621666	18.296358057882074	18.087899427902304	17.89076298842658	18.253027312142734	17.769542197076987	17.792396868523156	NA
O95864	NA	17.111052540440976	NA	NA	17.529670825889873	17.06064307313227	NA	NA
O95881	17.258903944355193	NA	NA	NA	NA	17.272878879432547	16.826511749255047	NA
O96008	17.110633061552686	NA	18.34727133390271	NA	18.250657172779903	NA	NA	NA
O96019;O94805	NA	NA	17.413494199363996	NA	19.015312084917568	18.595084923466494	18.481772278320832	18.87101380406984
P00338;Q6ZMR3	24.28467193581563	24.187201389513273	24.13136307638627	23.983576142815867	23.955596181967877	24.407290361004755	24.505606759519317	23.915376240067573
P00367	18.531531725895128	18.84643383123717	18.891673930208253	19.069158615075736	18.890544829094054	19.285419996199252	NA	18.852524205852312
P00374;Q86XF0	17.814960919855718	18.32940696913028	NA	NA	18.17995011963761	17.783999285048274	NA	NA
P00387	17.75992490740651	17.498862248475803	17.17231000395622	NA	17.28799610673866	17.4582413144022	NA	NA
P00390	18.252117074912142	17.977335433118487	17.59032539971763	17.695213099624684	19.175338410731797	19.55451638801243	19.299595844457258	19.055867281334066
P00403	NA	NA	19.178829541401406	NA	18.19996302161792	17.90646911640225	NA	NA
P00441	20.98230839429135	21.30470228177848	21.272298714107148	20.883956866272385	21.067403248412944	21.24116278073072	20.940910710412354	21.065767090093736
P00491	20.431383606348103	20.300611664834555	20.833084379567975	20.238366315011554	20.278803506563897	20.256893901171722	20.357784059149147	20.597967303871343
P00492;Q9NRG1	19.78942206523835	19.595541225875454	19.790838221721913	19.24051715049954	19.438064100546832	19.571813308273143	19.329544688608074	19.36112726928203
P00505	19.117751456001876	19.159907227835742	19.043740753202076	19.18506242325684	19.271056244316952	19.128005402981287	19.01774881206689	NA
P00558	24.551888888478064	24.41059303692552	24.2536830359398	24.02502603990031	24.45967200195451	24.51018556427543	24.384135984778275	24.39414059424628
P00813	23.17977004180749	23.26577919841933	23.04408614734619	22.799060368173578	23.025064888379674	23.32262252849472	23.2627681490301	23.238502386805088
P01111;P01112;P01116	NA	NA	NA	NA	17.205087120314985	NA	NA	NA
P02786	17.989660573950932	17.64098460533216	NA	NA	20.5511199421437	20.63430716499601	20.56020005589388	20.84516795058034
P04040	NA	NA	NA	17.264385546107516	17.198690126326078	NA	NA	NA
P04075;P05062	23.624635978580145	23.52798510401545	23.344051591692047	23.541677275805803	23.2460326703139	23.543590547004122	23.688260388570605	23.344646235921395
P04080	18.485488120811553	19.23547451085147	19.197791542169494	19.58919984158306	19.03098373428177	18.647214826715086	NA	19.143971521998118
P04083	20.417871340722108	20.441511805034644	19.984046257160987	20.19431548012969	19.87438881579989	19.972356052197632	19.59134085929201	20.07565127399267
P04181	17.364022563874045	17.873790282318325	18.564863613941142	NA	16.06910243555994	15.880776437638483	NA	NA
P04234	NA	17.320418185903023	NA	NA	NA	NA	NA	NA
P04406	24.179375537471827	23.94388561405215	23.84963871041104	24.188727839963228	23.909724382996735	24.05401745879896	24.176585415936856	24.294994627623964
P04439;P13746;P30443;P30455;P01893;P30501;P30505;P30508;Q07000;Q29960;Q29963;Q9TNN7;P04222;P30504;Q29865;P10314;P30459;Q09160;Q95604;P10321;P01891;P01892;P10316;P16189;P16190;P18462;P30450;P30453;P30456;P30457;P30512;Q31612;P01889;P03989;P10319;P18463;P18464;P18465;P30460;P30461;P30462;P30464;P30466;P30475;P30479;P30480;P30481;P30483;P30484;P30485;P30487;P30488;P30490;P30491;P30492;P30493;P30495;P30498;P30685;Q04826;Q29718;Q29836;Q29940;Q95365;P13747	17.62634361992127	17.471008516050436	17.818712795086917	17.465264768486094	18.588701356069024	18.17103316451788	18.939511071817314	19.50895146876057
P04632;Q96L46	20.516858595429156	20.063664865064215	20.500520214245793	19.767766437836453	16.964539973678683	17.472305374274782	NA	NA
P04818	19.01935349347939	19.138137967352595	18.27395545717526	19.751833696765893	19.083984827149266	18.939898101826586	19.283772335869543	NA
P04843	17.09197407064829	NA	NA	NA	18.78572964722497	18.872591106490354	18.729030971664116	18.47275633437856
P04899;P63096;P38405;A8MTJ3;P19087;P09471;P11488	19.76031573551137	19.72403320001617	20.1585078733151	19.806376300846644	19.82872700503242	19.77195667279439	19.727213160441785	19.48485098377442
P04908;P0C0S8;P20671;Q7L7L0;Q93077;Q9BTM1;Q96KK5;Q99878	22.14025628682103	22.30158154389017	22.35123195181647	22.29815209376707	24.76496822732907	25.076392562504815	25.452915956241362	24.655398335191002
P05023;P13637	18.434286493180775	18.245566707919753	18.03306454137484	18.286109539363945	20.21770996632207	19.469257139207706	19.485516642740954	20.309863764914695
P05107	NA	NA	NA	NA	NA	16.487940949920784	NA	NA
P05141	18.954979707821042	19.50947812637081	19.658802773498945	19.427374571088045	21.991493391285047	22.565320209819525	22.54517353235974	21.683757048592824
P05161	NA	NA	NA	NA	18.692230420074246	18.549845933306543	17.639258625430138	18.37755883652298
P05198	20.278900494585237	20.284241250511098	20.319200625563063	20.32569066545162	20.13843085019935	20.531592403211697	20.27646708278415	19.918093047834596
P05204	NA	18.930091760284082	18.843185811470136	18.584356894263927	18.70360104581836	NA	NA	18.490014640930013
