Name	Condition	Experiment	Fraction
OR8_121123_EDG_PG_phosJurkat_0min_A2	A	2	1
OR8_121123_EDG_PG_phosJurkat_0min_B2	B	5	1
OR8_121123_EDG_PG_phosJurkat_0min_B3	A	6	1
OR8_121123_EDG_PG_phosJurkat_0min_C2	B	8	1
OR8_121123_EDG_PG_phosJurkat_0min_C3	A	9	1
OR9_20121214_EDG_PG_phosJurkat_0min_A2	B	11	1
OR9_20121214_EDG_PG_phosJurkat_0min_B3	A	15	1
OR9_20121214_EDG_PG_phosJurkat_0min_C2	B	17	1
